,forecast
2025-02-07,230.47812825285695
2025-02-10,228.19921818693598
2025-02-11,224.89138725767225
2025-02-12,222.96341583855502
2025-02-13,221.30317480159601
2025-02-14,218.67476467081943
2025-02-17,216.4022161177048
2025-02-18,214.32812707981586
2025-02-19,214.70914231706664
2025-02-20,213.27096548153756
2025-02-21,213.69703231747366
2025-02-24,212.93196759580994
2025-02-25,212.3380335030304
2025-02-26,211.2731880632979
2025-02-27,207.916492145043
2025-02-28,208.11615766449583
2025-03-03,209.10356229651012
2025-03-04,206.68971382864305
2025-03-05,205.1959103994969
2025-03-06,204.35840308130767
2025-03-07,203.36281700486947
2025-03-10,203.13144569351263
2025-03-11,202.13135308032642
2025-03-12,202.9416325303597
2025-03-13,201.81213582348929
2025-03-14,201.67481852071563
2025-03-17,200.84272312689833
2025-03-18,199.03049634369958
